seccion_nombre,distrito_nro,seccion_nro,hasta_2,hasta_10,desde_10
Campana,2,16,4,40,200
Escobar,2,35,4,40,200
General Las Heras,2,45,4,40,200
General Rodríguez,2,51,4,40,200
General San Martín,2,52,4,40,200
Hurlingham,2,134,4,40,200
Ituzaingó,2,133,4,40,200
José C. Paz,2,129,4,40,200
Luján,2,71,4,40,200
Malvinas Argentinas,2,130,4,40,200
Marcos Paz,2,75,4,40,200
Mercedes,2,76,4,40,200
Merlo,2,77,4,40,200
Moreno,2,79,4,40,200
Morón,2,80,4,40,200
Navarro,2,81,4,40,200
Pilar,2,89,4,40,200
San Fernando,2,105,4,40,200
San Isidro,2,106,4,40,200
San Miguel,2,53,4,40,200
Suipacha,2,110,4,40,200
Tigre,2,113,4,40,200
Tres de Febrero,2,118,4,40,200
Vicente López,2,122,4,40,200
Almirante Brown,2,3,4,40,200
Avellaneda,2,4,4,40,200
Berazategui,2,11,4,40,200
Berisso,2,12,4,40,200
Brandsen,2,15,4,40,200
Cañuelas,2,17,4,40,200
Ensenada,2,34,4,40,200
Esteban Echeverría,2,36,4,40,200
Ezeiza,2,132,4,40,200
Florencio Varela,2,38,4,40,200
La Matanza,2,61,4,40,200
Lanús,2,62,4,40,200
Lobos,2,69,4,40,200
Lomas de Zamora,2,70,4,40,200
Magdalena,2,72,4,40,200
Presidente Perón,2,128,4,40,200
Punta Indio,2,131,4,40,200
Quilmes,2,92,4,40,200
San Vicente,2,109,4,40,200