seccion_nro,distrito_nro,seccion_name,distrito_name
1,1,COMUNA 1,Capital Federal
10,1,COMUNA 10,Capital Federal
11,1,COMUNA 11,Capital Federal
12,1,COMUNA 12,Capital Federal
13,1,COMUNA 13,Capital Federal
14,1,COMUNA 14,Capital Federal
15,1,COMUNA 15,Capital Federal
2,1,COMUNA 2,Capital Federal
3,1,COMUNA 3,Capital Federal
4,1,COMUNA 4,Capital Federal
5,1,COMUNA 5,Capital Federal
6,1,COMUNA 6,Capital Federal
7,1,COMUNA 7,Capital Federal
8,1,COMUNA 8,Capital Federal
9,1,COMUNA 9,Capital Federal
1,2,ADOLFO ALSINA,Buenos Aires
10,2,ARRECIFES,Buenos Aires
100,2,SALLIQUELO,Buenos Aires
101,2,SALTO,Buenos Aires
102,2,SAN ANDRES DE GILES,Buenos Aires
103,2,SAN ANTONIO DE ARECO,Buenos Aires
104,2,SAN CAYETANO,Buenos Aires
105,2,SAN FERNANDO,Buenos Aires
106,2,SAN ISIDRO,Buenos Aires
107,2,SAN NICOLAS,Buenos Aires
108,2,SAN PEDRO,Buenos Aires
109,2,SAN VICENTE,Buenos Aires
11,2,BERAZATEGUI,Buenos Aires
110,2,SUIPACHA,Buenos Aires
111,2,TANDIL,Buenos Aires
112,2,TAPALQUE,Buenos Aires
113,2,TIGRE,Buenos Aires
114,2,TORNQUIST,Buenos Aires
115,2,TRENQUE LAUQUEN,Buenos Aires
116,2,TORDILLO,Buenos Aires
117,2,TRES ARROYOS,Buenos Aires
118,2,TRES DE FEBRERO,Buenos Aires
119,2,LA COSTA,Buenos Aires
12,2,BERISSO,Buenos Aires
120,2,MONTE HERMOSO,Buenos Aires
121,2,VEINTICINCO DE MAYO,Buenos Aires
122,2,VICENTE LOPEZ,Buenos Aires
123,2,VILLA GESELL,Buenos Aires
124,2,VILLARINO,Buenos Aires
125,2,ZARATE,Buenos Aires
126,2,TRES LOMAS,Buenos Aires
127,2,FLORENTINO AMEGHINO,Buenos Aires
128,2,PRESIDENTE PERON,Buenos Aires
129,2,JOSE C. PAZ,Buenos Aires
13,2,BOLIVAR,Buenos Aires
130,2,MALVINAS ARGENTINAS,Buenos Aires
131,2,PUNTA INDIO,Buenos Aires
132,2,EZEIZA,Buenos Aires
133,2,ITUZAINGO,Buenos Aires
134,2,HURLINGHAM,Buenos Aires
135,2,LEZAMA,Buenos Aires
14,2,BRAGADO,Buenos Aires
15,2,BRANDSEN,Buenos Aires
16,2,CAMPANA,Buenos Aires
17,2,CAÑUELAS,Buenos Aires
18,2,CAPITAN SARMIENTO,Buenos Aires
19,2,CARLOS CASARES,Buenos Aires
2,2,ALBERTI,Buenos Aires
20,2,CARLOS TEJEDOR,Buenos Aires
21,2,CARMEN DE ARECO,Buenos Aires
22,2,PATAGONES,Buenos Aires
23,2,CASTELLI,Buenos Aires
24,2,COLON,Buenos Aires
25,2,CORONEL DORREGO,Buenos Aires
26,2,CORONEL PRINGLES,Buenos Aires
27,2,CORONEL DE MARINA L. ROSALES,Buenos Aires
28,2,CORONEL SUAREZ,Buenos Aires
29,2,CHACABUCO,Buenos Aires
3,2,ALMIRANTE BROWN,Buenos Aires
30,2,CHASCOMUS,Buenos Aires
31,2,CHIVILCOY,Buenos Aires
32,2,DAIREAUX,Buenos Aires
33,2,DOLORES,Buenos Aires
34,2,ENSENADA,Buenos Aires
35,2,ESCOBAR,Buenos Aires
36,2,ESTEBAN ECHEVERRIA,Buenos Aires
37,2,EXALTACION DE LA CRUZ,Buenos Aires
38,2,FLORENCIO VARELA,Buenos Aires
39,2,GENERAL ALVARADO,Buenos Aires
4,2,AVELLANEDA,Buenos Aires
40,2,GENERAL ALVEAR,Buenos Aires
41,2,GENERAL ARENALES,Buenos Aires
42,2,GENERAL BELGRANO,Buenos Aires
43,2,GENERAL GUIDO,Buenos Aires
44,2,GENERAL LAMADRID,Buenos Aires
45,2,GENERAL LAS HERAS,Buenos Aires
46,2,GENERAL LAVALLE,Buenos Aires
47,2,GENERAL JUAN MADARIAGA,Buenos Aires
48,2,GENERAL PAZ,Buenos Aires
49,2,GENERAL PINTO,Buenos Aires
5,2,AYACUCHO,Buenos Aires
50,2,GENERAL PUEYRREDON,Buenos Aires
51,2,GENERAL RODRIGUEZ,Buenos Aires
52,2,GENERAL SAN MARTIN,Buenos Aires
53,2,SAN MIGUEL,Buenos Aires
54,2,GENERAL VIAMONTE,Buenos Aires
55,2,GENERAL VILLEGAS,Buenos Aires
56,2,ADOLFO GONZALES CHAVES,Buenos Aires
57,2,GUAMINI,Buenos Aires
58,2,HIPOLITO YRIGOYEN,Buenos Aires
59,2,BENITO JUAREZ,Buenos Aires
6,2,AZUL,Buenos Aires
60,2,JUNIN,Buenos Aires
61,2,LA MATANZA,Buenos Aires
62,2,LANUS,Buenos Aires
63,2,LA PLATA,Buenos Aires
64,2,LAPRIDA,Buenos Aires
65,2,LAS FLORES,Buenos Aires
66,2,LEANDRO N. ALEM,Buenos Aires
67,2,LINCOLN,Buenos Aires
68,2,LOBERIA,Buenos Aires
69,2,LOBOS,Buenos Aires
7,2,BAHIA BLANCA,Buenos Aires
70,2,LOMAS DE ZAMORA,Buenos Aires
71,2,LUJAN,Buenos Aires
72,2,MAGDALENA,Buenos Aires
73,2,MAIPU,Buenos Aires
74,2,MAR CHIQUITA,Buenos Aires
75,2,MARCOS PAZ,Buenos Aires
76,2,MERCEDES,Buenos Aires
77,2,MERLO,Buenos Aires
78,2,MONTE,Buenos Aires
79,2,MORENO,Buenos Aires
8,2,BALCARCE,Buenos Aires
80,2,MORON,Buenos Aires
81,2,NAVARRO,Buenos Aires
82,2,NECOCHEA,Buenos Aires
83,2,NUEVE DE JULIO,Buenos Aires
84,2,OLAVARRIA,Buenos Aires
85,2,PEHUAJO,Buenos Aires
86,2,PELLEGRINI,Buenos Aires
87,2,PERGAMINO,Buenos Aires
88,2,PILA,Buenos Aires
89,2,PILAR,Buenos Aires
9,2,BARADERO,Buenos Aires
90,2,PINAMAR,Buenos Aires
91,2,PUAN,Buenos Aires
92,2,QUILMES,Buenos Aires
93,2,RAMALLO,Buenos Aires
94,2,RAUCH,Buenos Aires
95,2,RIVADAVIA,Buenos Aires
96,2,ROJAS,Buenos Aires
97,2,ROQUE PEREZ,Buenos Aires
98,2,SAAVEDRA,Buenos Aires
99,2,SALADILLO,Buenos Aires
1,3,CAPITAL,Catamarca
10,3,AMBATO,Catamarca
11,3,POMAN,Catamarca
12,3,ANDALGALA,Catamarca
13,3,BELEN,Catamarca
14,3,ANTOFAGASTA DE LA SIERRA,Catamarca
15,3,TINOGASTA,Catamarca
16,3,SANTA MARIA,Catamarca
2,3,CAPAYAN,Catamarca
3,3,LA PAZ,Catamarca
4,3,ANCASTI,Catamarca
5,3,EL ALTO,Catamarca
6,3,SANTA ROSA,Catamarca
7,3,PACLIN,Catamarca
8,3,VALLE VIEJO,Catamarca
9,3,FRAY MAMERTO ESQUIU,Catamarca
1,4,CAPITAL,Córdoba
10,4,MINAS,Córdoba
11,4,POCHO,Córdoba
12,4,PUNILLA,Córdoba
13,4,RIO CUARTO,Córdoba
14,4,RIO PRIMERO,Córdoba
15,4,RIO SECO,Córdoba
16,4,RIO SEGUNDO,Córdoba
17,4,ROQUE SAENZ PEÑA,Córdoba
18,4,SAN ALBERTO,Córdoba
19,4,SAN JAVIER,Córdoba
2,4,CALAMUCHITA,Córdoba
20,4,SAN JUSTO,Córdoba
21,4,SANTA MARIA,Córdoba
22,4,SOBREMONTE,Córdoba
23,4,TERCERO ARRIBA,Córdoba
24,4,TOTORAL,Córdoba
25,4,TULUMBA,Córdoba
26,4,UNION,Córdoba
3,4,COLON,Córdoba
4,4,CRUZ DEL EJE,Córdoba
5,4,GENERAL ROCA,Córdoba
6,4,GRAL SAN MARTIN,Córdoba
7,4,ISCHILIN,Córdoba
8,4,JUAREZ CELMAN,Córdoba
9,4,MARCOS JUAREZ,Córdoba
1,5,CAPITAL,Corrientes
10,5,SAN LUIS DEL PALMAR,Corrientes
11,5,BELLA VISTA,Corrientes
12,5,EMPEDRADO,Corrientes
13,5,SAN ROQUE,Corrientes
14,5,GENERAL PAZ,Corrientes
15,5,SALADAS,Corrientes
16,5,SAN MARTIN,Corrientes
17,5,CONCEPCION,Corrientes
18,5,MBURUCUYA,Corrientes
19,5,ITUZAINGO,Corrientes
2,5,GOYA,Corrientes
20,5,SAUCE,Corrientes
21,5,SAN COSME,Corrientes
22,5,GENERAL ALVEAR,Corrientes
23,5,SAN MIGUEL,Corrientes
24,5,ITATI,Corrientes
25,5,BERON DE ASTRADA,Corrientes
3,5,CURUZU CUATIA,Corrientes
4,5,MERCEDES,Corrientes
5,5,ESQUINA,Corrientes
6,5,LAVALLE,Corrientes
7,5,SANTO TOME,Corrientes
8,5,PASO DE LOS LIBRES,Corrientes
9,5,MONTE CASEROS,Corrientes
99,5,SIN DATOS,Corrientes
1,6,SAN FERNANDO,Chaco
10,6,SAN LORENZO,Chaco
11,6,MAYOR LUIS J. FONTANA,Chaco
12,6,O HIGGINS,Chaco
13,6,COMANDANTE FERNANDEZ,Chaco
14,6,QUITILIPI,Chaco
15,6,25 DE MAYO,Chaco
16,6,MAIPU,Chaco
17,6,INDEPENDENCIA,Chaco
18,6,GRAL. BELGRANO,Chaco
19,6,9 DE JULIO,Chaco
2,6,1° DE MAYO,Chaco
20,6,CHACABUCO,Chaco
21,6,12 DE OCTUBRE,Chaco
22,6,2 DE ABRIL,Chaco
23,6,FRAY SANTA MARIA DE ORO,Chaco
24,6,ALMIRANTE BROWN,Chaco
25,6,GENERAL GÜEMES,Chaco
3,6,LIBERTAD,Chaco
4,6,GENERAL DONOVAN,Chaco
5,6,SARGENTO CABRAL,Chaco
6,6,PRESIDENCIA DE LA PLAZA,Chaco
7,6,BERMEJO,Chaco
8,6,LIBERTADOR GRAL. SAN MARTIN,Chaco
9,6,TAPENAGA,Chaco
1,7,RAWSON,Chubut
10,7,MARTIRES,Chubut
11,7,FLORENTINO AMEGHINO,Chubut
12,7,GAIMAN,Chubut
13,7,RIO SENGUER,Chubut
14,7,SARMIENTO,Chubut
15,7,ESCALANTE,Chubut
2,7,BIEDMA,Chubut
3,7,TELSEN,Chubut
4,7,GASTRE,Chubut
5,7,CUSHAMEN,Chubut
6,7,FUTALEUFU,Chubut
7,7,LANGUINEO,Chubut
8,7,TEHUELCHES,Chubut
9,7,PASO DE INDIOS,Chubut
1,8,PARANA,Entre Rios
10,8,GUALEGUAYCHU,Entre Rios
11,8,ISLAS DEL IBICUY,Entre Rios
12,8,VILLAGUAY,Entre Rios
13,8,CONCORDIA,Entre Rios
14,8,FEDERAL,Entre Rios
15,8,COLON,Entre Rios
16,8,FELICIANO,Entre Rios
17,8,FEDERACION,Entre Rios
18,8,SAN SALVADOR,Entre Rios
3,8,LA PAZ,Entre Rios
4,8,DIAMANTE,Entre Rios
5,8,VICTORIA,Entre Rios
6,8,NOGOYA,Entre Rios
7,8,GUALEGUAY,Entre Rios
8,8,TALA,Entre Rios
9,8,URUGUAY,Entre Rios
1,9,FORMOSA,Formosa
2,9,LAISHI,Formosa
3,9,PILCOMAYO,Formosa
4,9,PIRANE,Formosa
5,9,PILAGAS,Formosa
6,9,PATIÑO,Formosa
7,9,BERMEJO,Formosa
8,9,MATACOS,Formosa
9,9,RAMON LISTA,Formosa
1,10,DR. MANUEL BELGRANO,Jujuy
10,10,TILCARA,Jujuy
11,10,HUMAHUACA,Jujuy
12,10,COCHINOCA,Jujuy
13,10,RINCONADA,Jujuy
14,10,SANTA CATALINA,Jujuy
15,10,YAVI,Jujuy
16,10,SUSQUES,Jujuy
2,10,PALPALA,Jujuy
3,10,SAN ANTONIO,Jujuy
4,10,EL CARMEN,Jujuy
5,10,SAN PEDRO,Jujuy
6,10,SANTA BARBARA,Jujuy
7,10,LEDESMA,Jujuy
8,10,VALLE GRANDE,Jujuy
800,10,PRIVADOS DE LIBERTAD,Jujuy
9,10,TUMBAYA,Jujuy
900,10,ARGENTINOS EXTERIOR,Jujuy
1,11,ATREUCO,La Pampa
10,11,GUATRACHE,La Pampa
11,11,HUCAL,La Pampa
12,11,LOVENTUE,La Pampa
13,11,LIHUEL CALEL,La Pampa
14,11,LIMAY MAHUIDA,La Pampa
15,11,MARACO,La Pampa
16,11,PUELEN,La Pampa
17,11,QUEMU QUEMU,La Pampa
18,11,RANCUL,La Pampa
19,11,REALICO,La Pampa
2,11,CAPITAL,La Pampa
20,11,TOAY,La Pampa
21,11,TRENEL,La Pampa
22,11,UTRACAN,La Pampa
3,11,CALEU CALEU,La Pampa
4,11,CATRILO,La Pampa
5,11,CHALILEO,La Pampa
6,11,CHAPALEUFU,La Pampa
7,11,CHICAL-CO,La Pampa
8,11,CONHELO,La Pampa
9,11,CURACO,La Pampa
1,12,CAPITAL,La Rioja
10,12,VINCHINA,La Rioja
11,12,INDEPENDENCIA,La Rioja
12,12,CHAMICAL,La Rioja
13,12,ANGEL VICENTE PEÑALOZA,La Rioja
14,12,GRAL. BELGRANO,La Rioja
15,12,JUAN FACUNDO QUIROGA,La Rioja
16,12,GRAL. ORTIZ DE OCAMPO,La Rioja
17,12,ROSARIO VERA PEÑALOZA,La Rioja
18,12,GRAL. SAN MARTIN,La Rioja
2,12,SANAGASTA,La Rioja
3,12,CASTRO BARROS,La Rioja
4,12,ARAUCO,La Rioja
5,12,SAN BLAS DE LOS SAUCES,La Rioja
6,12,CHILECITO,La Rioja
7,12,FAMATINA,La Rioja
8,12,CNEL. FELIPE VARELA,La Rioja
9,12,GRAL. LAMADRID,La Rioja
1,13,CAPITAL,Mendoza
10,13,JUNIN,Mendoza
11,13,RIVADAVIA,Mendoza
12,13,TUNUYAN,Mendoza
13,13,SAN CARLOS,Mendoza
14,13,SANTA ROSA,Mendoza
15,13,LA PAZ,Mendoza
16,13,SAN RAFAEL,Mendoza
17,13,MALARGÜE,Mendoza
18,13,GENERAL ALVEAR,Mendoza
2,13,GODOY CRUZ,Mendoza
3,13,GUAYMALLEN,Mendoza
4,13,LAS HERAS,Mendoza
5,13,LAVALLE,Mendoza
6,13,MAIPU,Mendoza
7,13,LUJAN,Mendoza
8,13,TUPUNGATO,Mendoza
9,13,SAN MARTIN,Mendoza
1,14,CAPITAL,Misiones
10,14,CAINGUAS,Misiones
11,14,25 DE MAYO,Misiones
12,14,MONTECARLO,Misiones
13,14,GUARANI,Misiones
14,14,ELDORADO,Misiones
15,14,SAN PEDRO,Misiones
16,14,IGUAZU,Misiones
17,14,GRAL. MANUEL BELGRANO,Misiones
2,14,APOSTOLES,Misiones
3,14,CANDELARIA,Misiones
4,14,LEANDRO N. ALEM,Misiones
5,14,CONCEPCIÓN DE LA SIERRA,Misiones
6,14,SAN JAVIER,Misiones
7,14,SAN IGNACIO,Misiones
8,14,OBERA,Misiones
9,14,LIB. GRAL. SAN MARTIN,Misiones
1,15,CONFLUENCIA,Neuquén
10,15,ALUMINE,Neuquén
11,15,CATAN LIL,Neuquén
12,15,PICUN LEUFU,Neuquén
13,15,COLLON CURA,Neuquén
14,15,HUILICHES,Neuquén
15,15,LACAR,Neuquén
16,15,LOS LAGOS,Neuquén
2,15,ZAPALA,Neuquén
3,15,AÑELO,Neuquén
4,15,PEHUENCHES,Neuquén
5,15,CHOS MALAL,Neuquén
6,15,MINAS,Neuquén
7,15,NORQUIN,Neuquén
8,15,LONCOPUE,Neuquén
9,15,PICUNCHES,Neuquén
1,16,ADOLFO ALSINA,Rio Negro
10,16,PICHI MAHUIDA,Rio Negro
11,16,AVELLANEDA,Rio Negro
12,16,GENERAL ROCA,Rio Negro
13,16,EL CUY,Rio Negro
2,16,CONESA,Rio Negro
3,16,SAN ANTONIO,Rio Negro
4,16,VALCHETA,Rio Negro
5,16,9 DE JULIO,Rio Negro
6,16,25 DE MAYO,Rio Negro
7,16,ÑORQUINCO,Rio Negro
8,16,PILCANIYEU,Rio Negro
9,16,BARILOCHE,Rio Negro
1,17,CAPITAL,Salta
10,17,SANTA VICTORIA,Salta
11,17,CERRILLOS,Salta
12,17,CHICOANA,Salta
13,17,LA VIÑA,Salta
14,17,GUACHIPAS,Salta
15,17,ROSARIO DE LA FRONTERA,Salta
16,17,LA CANDELARIA,Salta
17,17,CAFAYATE,Salta
18,17,SAN CARLOS,Salta
19,17,MOLINOS,Salta
2,17,LA CALDERA,Salta
20,17,CACHI,Salta
21,17,ROSARIO DE LERMA,Salta
22,17,LA POMA,Salta
23,17,LOS ANDES,Salta
3,17,GUEMES,Salta
4,17,METAN,Salta
5,17,ANTA,Salta
6,17,RIVADAVIA,Salta
7,17,ORAN,Salta
8,17,SAN MARTIN,Salta
9,17,IRUYA,Salta
1,18,CAPITAL,San Juan
10,18,ALBARDÓN,San Juan
11,18,ULLUM,San Juan
12,18,POCITO,San Juan
13,18,SARMIENTO,San Juan
14,18,25 DE MAYO,San Juan
15,18,CAUCETE,San Juan
16,18,VALLE FÉRTIL,San Juan
17,18,JACHAL,San Juan
18,18,IGLESIA,San Juan
19,18,CALINGASTA,San Juan
2,18,SANTA LUCÍA,San Juan
3,18,CHIMBAS,San Juan
4,18,RIVADAVIA,San Juan
5,18,ZONDA,San Juan
6,18,RAWSON,San Juan
7,18,9 DE JULIO,San Juan
8,18,SAN MARTÍN,San Juan
9,18,ANGACO,San Juan
1,19,JUAN MARTIN DE PUEYRREDON,San Luis
2,19,PRINGLES,San Luis
3,19,PEDERNERA,San Luis
4,19,CHACABUCO,San Luis
5,19,SAN MARTIN,San Luis
6,19,JUNIN,San Luis
7,19,AYACUCHO,San Luis
8,19,BELGRANO,San Luis
9,19,DUPUY,San Luis
1,20,DESEADO,Santa Cruz
2,20,LAGO BUENOS AIRES,Santa Cruz
3,20,MAGALLANES,Santa Cruz
4,20,RIO CHICO,Santa Cruz
5,20,CORPEN AIKE,Santa Cruz
6,20,LAGO ARGENTINO,Santa Cruz
7,20,GUER AIKE,Santa Cruz
1,21,BELGRANO,Santa Fe
11,21,LAS COLONIAS,Santa Fe
12,21,NUEVE DE JULIO,Santa Fe
13,21,ROSARIO,Santa Fe
16,21,SAN CRISTOBAL,Santa Fe
17,21,SAN JAVIER,Santa Fe
18,21,SAN JERONIMO,Santa Fe
19,21,SAN JUSTO,Santa Fe
2,21,CASEROS,Santa Fe
20,21,SAN LORENZO,Santa Fe
21,21,SAN MARTIN,Santa Fe
22,21,VERA,Santa Fe
3,21,CASTELLANOS,Santa Fe
4,21,CONSTITUCION,Santa Fe
5,21,GARAY,Santa Fe
6,21,GENERAL LOPEZ,Santa Fe
7,21,GENERAL OBLIGADO,Santa Fe
8,21,IRIONDO,Santa Fe
9,21,LA CAPITAL ,Santa Fe
1,22,CAPITAL,Santiago del Estero
10,22,FIGUEROA,Santiago del Estero
11,22,GUASAYAN,Santiago del Estero
12,22,JIMENEZ,Santiago del Estero
13,22,LORETO,Santiago del Estero
14,22,J.F.IBARRA,Santiago del Estero
15,22,MITRE,Santiago del Estero
16,22,MORENO,Santiago del Estero
17,22,OJO DE AGUA,Santiago del Estero
18,22,PELLEGRINI,Santiago del Estero
19,22,QUEBRACHOS,Santiago del Estero
2,22,AVELLANEDA,Santiago del Estero
20,22,RIVADAVIA,Santiago del Estero
21,22,ROBLES,Santiago del Estero
22,22,RIO HONDO,Santiago del Estero
23,22,SILIPICA,Santiago del Estero
24,22,SAN MARTIN,Santiago del Estero
25,22,SALAVINA,Santiago del Estero
26,22,SARMIENTO,Santiago del Estero
27,22,TABOADA,Santiago del Estero
3,22,AGUIRRE,Santiago del Estero
4,22,ALBERDI,Santiago del Estero
5,22,ATAMISQUI,Santiago del Estero
6,22,BANDA,Santiago del Estero
7,22,BELGRANO,Santiago del Estero
8,22,COPO,Santiago del Estero
9,22,CHOYA,Santiago del Estero
1,23,CAPITAL,Tucumán
10,23,SIMOCA,Tucumán
11,23,LEALES,Tucumán
12,23,CRUZ ALTA,Tucumán
13,23,BURRUYACU,Tucumán
14,23,TRANCAS,Tucumán
15,23,YERBA BUENA,Tucumán
16,23,TAFI VIEJO,Tucumán
17,23,TAFI DEL VALLE,Tucumán
2,23,LULES,Tucumán
3,23,FAMAILLA,Tucumán
4,23,MONTEROS,Tucumán
5,23,CHICLIGASTA,Tucumán
6,23,RIO CHICO,Tucumán
7,23,JUAN B. ALBERDI,Tucumán
8,23,LA COCHA,Tucumán
9,23,GRANEROS,Tucumán
1,24,USHUAIA,Tierra del Fuego
2,24,RIO GRANDE,Tierra del Fuego
3,24,ANTARTIDA,Tierra del Fuego
4,24,ISLAS DEL ATLÁNTICO SUR,Tierra del Fuego
5,24,TOLHUIN,Tierra del Fuego
